Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Training nfsp_iqn_mean_var_05 | seed=42 | 3,000,000 episodes
Eval every 10,000 | Log every 50,000 | Device: cpu
===============================================================================================

nfsp_iqn_mean_var_05:   0%|          | 0/3000000 [00:00<?, ?ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7135/3000000 [02:08<16:41:12, 49.82ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7235/3000000 [02:10<16:42:32, 49.75ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7335/3000000 [02:12<16:44:15, 49.67ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7435/3000000 [02:14<16:45:32, 49.60ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7535/3000000 [02:16<16:47:08, 49.52ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7634/3000000 [02:18<16:48:16, 49.46ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7733/3000000 [02:20<16:50:02, 49.38ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7832/3000000 [02:22<16:52:08, 49.27ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7931/3000000 [02:25<16:53:41, 49.19ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8030/3000000 [02:27<16:55:10, 49.12ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8129/3000000 [02:29<16:56:27, 49.06ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8228/3000000 [02:31<16:57:20, 49.01ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8326/3000000 [02:33<16:58:05, 48.98ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8424/3000000 [02:35<16:59:11, 48.92ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8522/3000000 [02:37<17:00:07, 48.87ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8620/3000000 [02:39<17:00:58, 48.83ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8718/3000000 [02:41<17:02:01, 48.78ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8816/3000000 [02:43<17:02:42, 48.75ep/s]
nfsp_iqn_mean_var_05:   0%|          | 8914/3000000 [02:45<17:03:03, 48.73ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9012/3000000 [02:47<17:03:39, 48.70ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9110/3000000 [02:49<17:04:15, 48.67ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9208/3000000 [02:51<17:05:05, 48.63ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9306/3000000 [02:53<17:06:04, 48.58ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9404/3000000 [02:55<17:07:10, 48.52ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9501/3000000 [02:57<17:08:22, 48.47ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9598/3000000 [02:59<17:09:33, 48.41ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9695/3000000 [03:01<17:10:06, 48.38ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9792/3000000 [03:03<17:11:28, 48.32ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9889/3000000 [03:05<17:11:52, 48.30ep/s]
nfsp_iqn_mean_var_05:   0%|          | 9986/3000000 [03:08<17:12:20, 48.27ep/s]
                                                                               
  >>> EXPLOITABILITY @ ep 10,000: 2.124721

nfsp_iqn_mean_var_05:   0%|          | 9986/3000000 [03:10<17:12:20, 48.27ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10083/3000000 [03:11<18:01:52, 46.06ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10221/3000000 [03:14<17:37:29, 47.12ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10365/3000000 [03:16<17:12:09, 48.28ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10507/3000000 [03:18<16:49:58, 49.33ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10643/3000000 [03:20<16:32:24, 50.20ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10783/3000000 [03:22<16:14:31, 51.12ep/s]
nfsp_iqn_mean_var_05:   0%|          | 10920/3000000 [03:24<15:59:09, 51.94ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11057/3000000 [03:26<15:45:03, 52.71ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11194/3000000 [03:28<15:31:50, 53.46ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11331/3000000 [03:30<15:19:35, 54.17ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11468/3000000 [03:32<15:08:10, 54.85ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11605/3000000 [03:34<14:57:31, 55.49ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11742/3000000 [03:36<14:47:38, 56.11ep/s]
nfsp_iqn_mean_var_05:   0%|          | 11880/3000000 [03:38<14:37:58, 56.72ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12017/3000000 [03:40<14:29:23, 57.28ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12155/3000000 [03:42<14:21:01, 57.83ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12292/3000000 [03:44<14:13:30, 58.34ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12432/3000000 [03:46<14:05:29, 58.89ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12569/3000000 [03:48<13:58:54, 59.35ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12706/3000000 [03:50<13:52:51, 59.78ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12843/3000000 [03:52<13:47:12, 60.19ep/s]
nfsp_iqn_mean_var_05:   0%|          | 12981/3000000 [03:54<13:41:25, 60.61ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13118/3000000 [03:56<13:36:18, 60.98ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13256/3000000 [03:58<13:31:14, 61.36ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13394/3000000 [04:00<13:26:31, 61.72ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13530/3000000 [04:02<13:22:36, 62.02ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13667/3000000 [04:04<13:18:34, 62.33ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13805/3000000 [04:06<13:14:34, 62.64ep/s]
nfsp_iqn_mean_var_05:   0%|          | 13944/3000000 [04:08<13:10:31, 62.96ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14081/3000000 [04:10<13:07:15, 63.21ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14218/3000000 [04:12<13:04:01, 63.47ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14353/3000000 [04:14<13:01:35, 63.67ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14491/3000000 [04:16<12:58:37, 63.91ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14630/3000000 [04:18<12:55:31, 64.16ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14766/3000000 [04:20<12:53:25, 64.33ep/s]
nfsp_iqn_mean_var_05:   0%|          | 14904/3000000 [04:22<12:50:44, 64.55ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15042/3000000 [04:24<12:48:16, 64.76ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15178/3000000 [04:26<12:46:28, 64.90ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15315/3000000 [04:28<12:44:23, 65.08ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15451/3000000 [04:30<12:42:43, 65.22ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15587/3000000 [04:32<12:41:12, 65.34ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15723/3000000 [04:34<12:39:53, 65.45ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15859/3000000 [04:36<12:38:33, 65.57ep/s]
nfsp_iqn_mean_var_05:   1%|          | 15996/3000000 [04:38<12:37:02, 65.69ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16132/3000000 [04:40<12:35:43, 65.81ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16268/3000000 [04:42<12:34:26, 65.91ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16405/3000000 [04:44<12:33:07, 66.03ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16541/3000000 [04:46<12:32:00, 66.12ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16678/3000000 [04:48<12:30:50, 66.22ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16815/3000000 [04:50<12:29:45, 66.31ep/s]
nfsp_iqn_mean_var_05:   1%|          | 16951/3000000 [04:52<12:28:54, 66.39ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17088/3000000 [04:54<12:27:47, 66.48ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17224/3000000 [04:56<12:26:59, 66.55ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17359/3000000 [04:58<12:26:31, 66.59ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17497/3000000 [05:00<12:25:23, 66.69ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17632/3000000 [05:02<12:24:56, 66.73ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17768/3000000 [05:04<12:24:13, 66.79ep/s]
nfsp_iqn_mean_var_05:   1%|          | 17905/3000000 [05:06<12:23:16, 66.87ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18042/3000000 [05:08<12:22:21, 66.95ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18178/3000000 [05:10<12:21:47, 67.00ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18315/3000000 [05:12<12:21:00, 67.06ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18450/3000000 [05:14<12:20:45, 67.08ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18585/3000000 [05:16<12:20:33, 67.10ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18721/3000000 [05:18<12:20:14, 67.12ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18859/3000000 [05:20<12:19:23, 67.20ep/s]
nfsp_iqn_mean_var_05:   1%|          | 18995/3000000 [05:22<12:19:04, 67.22ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19131/3000000 [05:24<12:18:48, 67.24ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19267/3000000 [05:26<12:18:34, 67.26ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19402/3000000 [05:28<12:18:35, 67.26ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19538/3000000 [05:30<12:18:21, 67.28ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19674/3000000 [05:32<12:18:06, 67.30ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19809/3000000 [05:34<12:18:14, 67.28ep/s]
nfsp_iqn_mean_var_05:   1%|          | 19944/3000000 [05:36<12:18:43, 67.23ep/s]
                                                                                
  >>> EXPLOITABILITY @ ep 20,000: 1.807664

nfsp_iqn_mean_var_05:   1%|          | 19944/3000000 [05:39<12:18:43, 67.23ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20079/3000000 [05:41<13:06:02, 63.18ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20213/3000000 [05:43<13:04:01, 63.34ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20348/3000000 [05:45<13:01:45, 63.52ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20485/3000000 [05:47<12:58:57, 63.75ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20629/3000000 [05:49<12:54:12, 64.14ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20764/3000000 [05:51<12:52:28, 64.28ep/s]
nfsp_iqn_mean_var_05:   1%|          | 20898/3000000 [05:53<12:50:55, 64.41ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21034/3000000 [05:55<12:48:51, 64.58ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21171/3000000 [05:57<12:46:39, 64.76ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21307/3000000 [05:59<12:44:54, 64.90ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21444/3000000 [06:01<12:42:57, 65.07ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21581/3000000 [06:03<12:41:06, 65.22ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21718/3000000 [06:05<12:39:20, 65.37ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21854/3000000 [06:07<12:37:56, 65.49ep/s]
nfsp_iqn_mean_var_05:   1%|          | 21991/3000000 [06:09<12:36:24, 65.62ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22128/3000000 [06:11<12:34:59, 65.74ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22265/3000000 [06:13<12:33:36, 65.85ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22401/3000000 [06:15<12:32:28, 65.95ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22537/3000000 [06:17<12:31:21, 66.05ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22674/3000000 [06:19<12:30:13, 66.14ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22811/3000000 [06:21<12:29:00, 66.25ep/s]
nfsp_iqn_mean_var_05:   1%|          | 22948/3000000 [06:23<12:27:57, 66.34ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23086/3000000 [06:25<12:26:42, 66.44ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23224/3000000 [06:27<12:25:29, 66.55ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23363/3000000 [06:29<12:23:56, 66.69ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23499/3000000 [06:31<12:23:12, 66.75ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23635/3000000 [06:33<12:22:40, 66.79ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23771/3000000 [06:35<12:22:11, 66.83ep/s]
nfsp_iqn_mean_var_05:   1%|          | 23906/3000000 [06:37<12:22:02, 66.84ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24042/3000000 [06:39<12:21:37, 66.88ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24178/3000000 [06:41<12:21:04, 66.93ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24315/3000000 [06:43<12:20:22, 66.99ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24451/3000000 [06:45<12:19:58, 67.02ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24587/3000000 [06:47<12:19:34, 67.05ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24724/3000000 [06:49<12:19:00, 67.10ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24860/3000000 [06:51<12:18:34, 67.14ep/s]
nfsp_iqn_mean_var_05:   1%|          | 24997/3000000 [06:53<12:18:04, 67.18ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25135/3000000 [06:55<12:17:15, 67.25ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25272/3000000 [06:57<12:16:45, 67.29ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25408/3000000 [06:59<12:16:56, 67.27ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25544/3000000 [07:01<12:16:36, 67.30ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25680/3000000 [07:03<12:16:30, 67.31ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25816/3000000 [07:05<12:16:31, 67.30ep/s]
nfsp_iqn_mean_var_05:   1%|          | 25952/3000000 [07:07<12:16:29, 67.30ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26088/3000000 [07:09<12:16:08, 67.33ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26224/3000000 [07:11<12:15:52, 67.35ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26361/3000000 [07:13<12:15:23, 67.39ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26498/3000000 [07:15<12:15:00, 67.42ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26634/3000000 [07:17<12:14:47, 67.44ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26771/3000000 [07:19<12:14:26, 67.47ep/s]
nfsp_iqn_mean_var_05:   1%|          | 26908/3000000 [07:21<12:14:06, 67.50ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27046/3000000 [07:23<12:13:26, 67.56ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27183/3000000 [07:25<12:13:05, 67.59ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27320/3000000 [07:27<12:12:50, 67.61ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27456/3000000 [07:29<12:12:39, 67.62ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27592/3000000 [07:31<12:12:28, 67.63ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27729/3000000 [07:33<12:12:01, 67.67ep/s]
nfsp_iqn_mean_var_05:   1%|          | 27867/3000000 [07:35<12:11:29, 67.72ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28003/3000000 [07:37<12:11:31, 67.71ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28140/3000000 [07:39<12:11:09, 67.74ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28276/3000000 [07:41<12:11:06, 67.74ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28413/3000000 [07:43<12:10:44, 67.78ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28549/3000000 [07:45<12:10:40, 67.78ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28685/3000000 [07:47<12:10:46, 67.77ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28822/3000000 [07:49<12:10:36, 67.78ep/s]
nfsp_iqn_mean_var_05:   1%|          | 28959/3000000 [07:51<12:10:20, 67.80ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29096/3000000 [07:53<12:09:57, 67.83ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29232/3000000 [07:55<12:09:53, 67.84ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29368/3000000 [07:57<12:09:50, 67.84ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29505/3000000 [07:59<12:09:37, 67.85ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29641/3000000 [08:01<12:09:37, 67.85ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29778/3000000 [08:03<12:09:29, 67.86ep/s]
nfsp_iqn_mean_var_05:   1%|          | 29918/3000000 [08:05<12:08:34, 67.94ep/s]
                                                                                
  >>> EXPLOITABILITY @ ep 30,000: 1.667377

nfsp_iqn_mean_var_05:   1%|          | 29918/3000000 [08:09<12:08:34, 67.94ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30055/3000000 [08:10<12:54:54, 63.88ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30191/3000000 [08:12<12:52:32, 64.07ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30328/3000000 [08:14<12:50:05, 64.27ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30465/3000000 [08:16<12:47:45, 64.46ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30603/3000000 [08:18<12:45:25, 64.66ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30747/3000000 [08:20<12:41:18, 65.00ep/s]
nfsp_iqn_mean_var_05:   1%|          | 30889/3000000 [08:22<12:38:02, 65.28ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31026/3000000 [08:24<12:36:24, 65.42ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31164/3000000 [08:26<12:34:35, 65.57ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31301/3000000 [08:28<12:33:05, 65.70ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31441/3000000 [08:30<12:30:57, 65.88ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31578/3000000 [08:32<12:29:30, 66.01ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31717/3000000 [08:34<12:27:43, 66.16ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31855/3000000 [08:36<12:26:18, 66.29ep/s]
nfsp_iqn_mean_var_05:   1%|          | 31993/3000000 [08:38<12:24:59, 66.40ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32130/3000000 [08:40<12:23:55, 66.49ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32268/3000000 [08:42<12:22:36, 66.61ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32407/3000000 [08:44<12:21:12, 66.73ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32544/3000000 [08:46<12:20:14, 66.81ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32680/3000000 [08:48<12:19:37, 66.87ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32818/3000000 [08:50<12:18:41, 66.95ep/s]
nfsp_iqn_mean_var_05:   1%|          | 32956/3000000 [08:52<12:17:41, 67.03ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33092/3000000 [08:54<12:17:16, 67.07ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33228/3000000 [08:56<12:16:54, 67.10ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33366/3000000 [08:58<12:16:03, 67.17ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33504/3000000 [09:00<12:15:16, 67.24ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33642/3000000 [09:02<12:14:32, 67.31ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33780/3000000 [09:04<12:13:47, 67.37ep/s]
nfsp_iqn_mean_var_05:   1%|          | 33917/3000000 [09:06<12:13:13, 67.42ep/s]
nfsp_iqn_mean_var_05:   1%|          | 34056/3000000 [09:08<12:12:11, 67.51ep/s]
nfsp_iqn_mean_var_05:   1%|          | 34193/3000000 [09:10<12:11:45, 67.55ep/s]
nfsp_iqn_mean_var_05:   1%|          | 34331/3000000 [09:12<12:11:11, 67.60ep/s]
nfsp_iqn_mean_var_05:   1%|          | 34470/3000000 [09:14<12:10:23, 67.67ep/s]
nfsp_iqn_mean_var_05:   1%|          | 34610/3000000 [09:16<12:09:20, 67.76ep/s]
nfsp_iqn_mean_var_05:   1%|          | 34749/3000000 [09:18<12:08:33, 67.83ep/s]
